date;valeur
2015-03-06T12:44:00Z;1
2015-03-06T12:58:00Z;5
2015-03-06T13:41:00Z;0
2015-03-06T15:10:00Z;1
2015-03-06T15:35:00Z;0
2015-03-10T13:00:00Z;2
2015-03-10T13:45:00Z;0
2015-03-12T10:30:00Z;3
2015-03-12T11:30:00Z;2
2015-03-12T12:00:00Z;0
2015-03-13T15:35:00Z;3
2015-03-13T16:25:00Z;0
2015-03-17T09:10:00Z;3
2015-03-17T09:45:00Z;0
2015-03-17T13:30:00Z;8
2015-03-17T15:20:00Z;0
2015-03-17T16:00:00Z;5
2015-03-17T18:45:00Z;0
2015-03-18T08:55:00Z;2
2015-03-18T10:25:00Z;0
2015-03-18T10:40:00Z;2
2015-03-18T12:00:00Z;0
2015-03-20T10:45:00Z;2
2015-03-20T12:00:00Z;0
2015-03-23T10:42:00Z;3
2015-03-23T11:58:00Z;0
2015-03-23T15:57:00Z;3
2015-03-23T17:45:00Z;0
2015-03-25T09:06:00Z;4
2015-03-25T10:11:00Z;0
2015-03-26T10:34:00Z;8
2015-03-26T12:13:00Z;0
2015-03-26T13:35:00Z;7
2015-03-26T15:43:00Z;0
2015-03-27T15:10:00Z;3
2015-03-27T16:30:00Z;0
2015-03-30T10:40:00Z;3
2015-03-30T12:00:00Z;0
2015-03-31T14:05:00Z;4
2015-03-31T14:37:00Z;0
2015-04-02T09:00:00Z;4
2015-04-02T10:40:00Z;0
2015-04-02T10:45:00Z;3
2015-04-02T12:10:00Z;0
2015-04-02T14:08:00Z;5
2015-04-02T16:00:00Z;0
2015-04-02T16:30:00Z;2
2015-04-02T16:40:00Z;0
2015-04-02T17:00:00Z;3
2015-04-02T17:52:00Z;0
2015-04-03T15:10:00Z;4
2015-04-03T15:47:00Z;0
2015-04-07T10:55:00Z;2
2015-04-07T11:35:00Z;0
2015-04-08T15:43:00Z;2
2015-04-08T16:00:00Z;0
2015-04-09T10:45:00Z;2
2015-04-09T11:40:00Z;0
2015-04-10T11:05:00Z;6
2015-04-10T12:09:00Z;5
2015-04-10T12:23:00Z;0
2015-04-27T13:55:00Z;1
2015-04-27T15:05:00Z;0
2015-04-27T16:15:00Z;2
2015-04-27T16:25:00Z;0
2015-04-28T16:50:00Z;3
2015-04-28T17:30:00Z;0
2015-04-30T10:40:00Z;4
2015-04-30T11:42:00Z;0
2015-05-04T10:55:00Z;2
2015-05-04T12:00:00Z;0
2015-05-05T15:03:00Z;2
2015-05-05T15:10:00Z;0
2015-05-05T16:02:00Z;2
2015-05-05T16:13:00Z;0
2015-05-06T11:15:00Z;2
2015-05-06T11:55:00Z;0
2015-05-06T13:00:00Z;1
2015-05-06T13:30:00Z;0
2015-05-07T09:00:00Z;2
2015-05-07T10:11:00Z;0
2015-05-07T14:03:00Z;2
2015-05-07T14:42:00Z;0
2015-05-11T13:44:00Z;2
2015-05-11T14:00:00Z;3
2015-05-11T15:00:00Z;0
2015-05-11T15:08:00Z;3
2015-05-11T15:52:00Z;0
2015-05-12T15:25:00Z;2
2015-05-12T15:50:00Z;0
2015-05-13T10:50:00Z;2
2015-05-13T12:24:00Z;0
2015-05-22T10:40:00Z;3
2015-05-22T12:25:00Z;0
