date;time;type;value;unit
11/02/2015;14:24:02.333;indoor relative humidity;26.0;%
11/02/2015;14:25:00.316;indoor relative humidity;26.0;%
11/02/2015;14:25:05.836;indoor temperature;21.6;°C
11/02/2015;14:25:12.527;volatile organic compounds;0.13;ppm
11/02/2015;14:25:14.827;carbon dioxide;576;ppm
11/02/2015;14:26:00.118;indoor relative humidity;26.0;%
11/02/2015;14:26:59.821;indoor relative humidity;26.0;%
11/02/2015;14:28:01.903;indoor relative humidity;26.0;%
11/02/2015;14:28:07.613;indoor temperature;21.7;°C
11/02/2015;14:28:12.624;volatile organic compounds;0.13;ppm
11/02/2015;14:28:15.744;carbon dioxide;573;ppm
11/02/2015;14:29:02.916;indoor relative humidity;26.0;%
11/02/2015;14:30:00.409;indoor relative humidity;26.0;%
11/02/2015;14:31:00.421;indoor relative humidity;27.0;%
11/02/2015;14:31:06.432;indoor temperature;21.8;°C
11/02/2015;14:31:12.142;volatile organic compounds;0.13;ppm
11/02/2015;14:31:15.562;carbon dioxide;576;ppm
11/02/2015;14:32:02.104;indoor relative humidity;27.0;%
11/02/2015;14:33:02.426;indoor relative humidity;27.0;%
11/02/2015;14:34:02.029;indoor relative humidity;27.0;%
11/02/2015;14:34:06.739;indoor temperature;21.7;°C
11/02/2015;14:34:12.749;volatile organic compounds;0.13;ppm
11/02/2015;14:34:17.839;carbon dioxide;576;ppm
11/02/2015;14:35:01.412;indoor relative humidity;27.0;%
11/02/2015;14:36:00.124;indoor relative humidity;27.0;%
11/02/2015;14:37:00.417;indoor relative humidity;27.0;%
11/02/2015;14:37:06.428;indoor temperature;21.6;°C
11/02/2015;14:37:12.128;volatile organic compounds;0.14;ppm
11/02/2015;14:37:17.458;carbon dioxide;576;ppm
11/02/2015;14:38:00.530;indoor relative humidity;27.0;%
11/02/2015;14:39:02.702;indoor relative humidity;27.0;%
11/02/2015;14:40:02.015;indoor relative humidity;27.0;%
11/02/2015;14:40:06.445;indoor temperature;21.6;°C
11/02/2015;14:40:11.235;volatile organic compounds;0.14;ppm
11/02/2015;14:40:14.866;carbon dioxide;576;ppm
11/02/2015;14:41:01.318;indoor relative humidity;27.0;%
11/02/2015;14:42:02.410;indoor relative humidity;27.0;%
11/02/2015;14:43:00.733;indoor relative humidity;27.0;%
11/02/2015;14:43:06.333;indoor temperature;21.7;°C
11/02/2015;14:43:11.453;volatile organic compounds;0.14;ppm
11/02/2015;14:43:15.453;carbon dioxide;576;ppm
11/02/2015;14:44:01.235;indoor relative humidity;27.0;%
11/02/2015;14:45:02.637;indoor relative humidity;27.0;%
11/02/2015;14:46:00.320;indoor relative humidity;27.0;%
11/02/2015;14:46:05.310;indoor temperature;21.6;°C
11/02/2015;14:46:11.040;volatile organic compounds;0.13;ppm
11/02/2015;14:46:17.651;carbon dioxide;576;ppm
11/02/2015;14:47:01.513;indoor relative humidity;27.0;%
11/02/2015;14:48:01.836;indoor relative humidity;27.0;%
11/02/2015;14:49:02.339;indoor relative humidity;27.0;%
11/02/2015;14:49:06.739;indoor temperature;21.7;°C
11/02/2015;14:49:10.449;volatile organic compounds;0.13;ppm
11/02/2015;14:49:16.259;carbon dioxide;576;ppm
11/02/2015;14:50:02.651;indoor relative humidity;27.0;%
11/02/2015;14:51:00.143;indoor relative humidity;27.0;%
11/02/2015;14:52:01.536;indoor relative humidity;27.0;%
11/02/2015;14:52:07.556;indoor temperature;21.7;°C
11/02/2015;14:52:10.236;volatile organic compounds;0.13;ppm
11/02/2015;14:52:16.556;carbon dioxide;570;ppm
11/02/2015;14:53:02.188;indoor relative humidity;27.0;%
11/02/2015;14:54:00.530;indoor relative humidity;27.0;%
11/02/2015;14:55:01.423;indoor relative humidity;27.0;%
11/02/2015;14:55:06.933;indoor temperature;21.8;°C
11/02/2015;14:55:11.743;volatile organic compounds;0.13;ppm
11/02/2015;14:55:15.073;carbon dioxide;567;ppm
11/02/2015;14:56:00.935;indoor relative humidity;27.0;%
11/02/2015;14:57:02.027;indoor relative humidity;27.0;%
11/02/2015;14:58:01.350;indoor relative humidity;27.0;%
11/02/2015;14:58:05.650;indoor temperature;21.8;°C
11/02/2015;14:58:10.450;volatile organic compounds;0.13;ppm
11/02/2015;14:58:16.670;carbon dioxide;567;ppm
11/02/2015;14:58:59.833;indoor relative humidity;27.0;%
11/02/2015;15:00:00.636;indoor relative humidity;27.0;%
11/02/2015;15:01:01.218;indoor relative humidity;27.0;%
11/02/2015;15:01:06.128;indoor temperature;21.7;°C
11/02/2015;15:01:11.858;volatile organic compounds;0.13;ppm
11/02/2015;15:01:15.168;carbon dioxide;570;ppm
11/02/2015;15:02:00.230;indoor relative humidity;27.0;%
11/02/2015;15:03:02.043;indoor relative humidity;27.0;%
11/02/2015;15:04:01.765;indoor relative humidity;27.0;%
11/02/2015;15:04:07.326;indoor temperature;21.6;°C
11/02/2015;15:04:10.066;volatile organic compounds;0.13;ppm
11/02/2015;15:04:16.366;carbon dioxide;567;ppm
11/02/2015;15:05:00.648;indoor relative humidity;27.0;%
11/02/2015;15:06:02.140;indoor relative humidity;27.0;%
11/02/2015;15:07:00.132;indoor relative humidity;27.0;%
11/02/2015;15:07:07.943;indoor temperature;21.7;°C
11/02/2015;15:07:12.463;volatile organic compounds;0.13;ppm
11/02/2015;15:07:16.353;carbon dioxide;567;ppm
11/02/2015;15:08:02.935;indoor relative humidity;27.0;%
11/02/2015;15:09:02.627;indoor relative humidity;27.0;%
11/02/2015;15:10:01.430;indoor relative humidity;27.0;%
11/02/2015;15:10:06.930;indoor temperature;21.7;°C
11/02/2015;15:10:12.660;volatile organic compounds;0.13;ppm
11/02/2015;15:10:15.071;carbon dioxide;567;ppm
11/02/2015;15:11:01.033;indoor relative humidity;27.0;%
11/02/2015;15:12:02.046;indoor relative humidity;27.0;%
11/02/2015;15:13:02.728;indoor relative humidity;27.0;%
11/02/2015;15:13:05.138;indoor temperature;21.7;°C
11/02/2015;15:13:10.148;volatile organic compounds;0.13;ppm
11/02/2015;15:13:16.469;carbon dioxide;561;ppm
11/02/2015;15:14:02.750;indoor relative humidity;27.0;%
11/02/2015;15:14:59.843;indoor relative humidity;27.0;%
11/02/2015;15:16:01.845;indoor relative humidity;27.0;%
11/02/2015;15:16:06.545;indoor temperature;21.7;°C
11/02/2015;15:16:10.946;volatile organic compounds;0.13;ppm
11/02/2015;15:16:16.276;carbon dioxide;561;ppm
11/02/2015;15:16:59.948;indoor relative humidity;27.0;%
11/02/2015;15:18:00.750;indoor relative humidity;27.0;%
11/02/2015;15:19:00.743;indoor relative humidity;27.0;%
11/02/2015;15:19:05.953;indoor temperature;21.6;°C
11/02/2015;15:19:11.763;volatile organic compounds;0.13;ppm
11/02/2015;15:19:14.883;carbon dioxide;561;ppm
11/02/2015;15:19:59.935;indoor relative humidity;27.0;%
11/02/2015;15:21:00.528;indoor relative humidity;27.0;%
11/02/2015;15:22:02.150;indoor relative humidity;27.0;%
11/02/2015;15:22:04.961;indoor temperature;21.8;°C
11/02/2015;15:22:10.772;volatile organic compounds;0.13;ppm
11/02/2015;15:22:16.072;carbon dioxide;558;ppm
11/02/2015;15:23:00.044;indoor relative humidity;27.0;%
11/02/2015;15:24:01.056;indoor relative humidity;27.0;%
11/02/2015;15:24:59.859;indoor relative humidity;27.0;%
11/02/2015;15:25:07.459;indoor temperature;21.7;°C
11/02/2015;15:25:11.959;volatile organic compounds;0.13;ppm
11/02/2015;15:25:17.379;carbon dioxide;558;ppm
11/02/2015;15:26:02.841;indoor relative humidity;27.0;%
11/02/2015;15:27:00.453;indoor relative humidity;27.0;%
11/02/2015;15:27:59.946;indoor relative humidity;27.0;%
11/02/2015;15:28:05.656;indoor temperature;21.8;°C
11/02/2015;15:28:10.776;volatile organic compounds;0.13;ppm
11/02/2015;15:28:16.976;carbon dioxide;561;ppm
11/02/2015;15:29:00.268;indoor relative humidity;27.0;%
11/02/2015;15:30:01.840;indoor relative humidity;27.0;%
11/02/2015;15:31:02.344;indoor relative humidity;27.0;%
11/02/2015;15:31:07.254;indoor temperature;21.8;°C
11/02/2015;15:31:12.984;volatile organic compounds;0.13;ppm
11/02/2015;15:31:16.384;carbon dioxide;561;ppm
11/02/2015;15:32:02.346;indoor relative humidity;27.0;%
11/02/2015;15:33:02.158;indoor relative humidity;27.0;%
11/02/2015;15:34:00.151;indoor relative humidity;27.0;%
11/02/2015;15:34:07.752;indoor temperature;21.9;°C
11/02/2015;15:34:12.482;volatile organic compounds;0.13;ppm
11/02/2015;15:34:17.402;carbon dioxide;561;ppm
11/02/2015;15:35:00.634;indoor relative humidity;27.0;%
11/02/2015;15:35:59.856;indoor relative humidity;27.0;%
11/02/2015;15:36:59.949;indoor relative humidity;27.0;%
11/02/2015;15:37:05.779;indoor temperature;21.9;°C
11/02/2015;15:37:11.589;volatile organic compounds;0.13;ppm
11/02/2015;15:37:17.779;carbon dioxide;558;ppm
11/02/2015;15:37:59.841;indoor relative humidity;27.0;%
11/02/2015;15:39:00.644;indoor relative humidity;27.0;%
11/02/2015;15:40:01.236;indoor relative humidity;27.0;%
11/02/2015;15:40:06.876;indoor temperature;21.9;°C
11/02/2015;15:40:11.576;volatile organic compounds;0.13;ppm
11/02/2015;15:40:14.987;carbon dioxide;567;ppm
11/02/2015;15:41:01.358;indoor relative humidity;27.0;%
11/02/2015;15:42:01.861;indoor relative humidity;27.0;%
11/02/2015;15:43:00.533;indoor relative humidity;27.0;%
11/02/2015;15:43:04.853;indoor temperature;21.8;°C
11/02/2015;15:43:12.874;volatile organic compounds;0.13;ppm
11/02/2015;15:43:17.784;carbon dioxide;567;ppm
11/02/2015;15:44:02.546;indoor relative humidity;27.0;%
11/02/2015;15:44:59.838;indoor relative humidity;27.0;%
11/02/2015;15:46:00.651;indoor relative humidity;27.0;%
11/02/2015;15:46:05.672;indoor temperature;21.8;°C
11/02/2015;15:46:11.192;volatile organic compounds;0.13;ppm
11/02/2015;15:46:17.683;carbon dioxide;567;ppm
11/02/2015;15:47:01.664;indoor relative humidity;27.0;%
11/02/2015;15:48:01.267;indoor relative humidity;27.0;%
11/02/2015;15:49:01.149;indoor relative humidity;27.0;%
11/02/2015;15:49:06.649;indoor temperature;21.8;°C
11/02/2015;15:49:12.660;volatile organic compounds;0.13;ppm
11/02/2015;15:49:15.690;carbon dioxide;561;ppm
11/02/2015;15:50:02.162;indoor relative humidity;27.0;%
11/02/2015;15:51:02.064;indoor relative humidity;27.0;%
11/02/2015;15:51:59.866;indoor relative humidity;27.0;%
11/02/2015;15:52:07.687;indoor temperature;21.8;°C
11/02/2015;15:52:12.297;volatile organic compounds;0.13;ppm
11/02/2015;15:52:17.207;carbon dioxide;567;ppm
11/02/2015;15:53:00.079;indoor relative humidity;27.0;%
11/02/2015;15:54:02.962;indoor relative humidity;27.0;%
11/02/2015;15:55:02.504;indoor relative humidity;27.0;%
11/02/2015;15:55:04.874;indoor temperature;21.7;°C
11/02/2015;15:55:10.595;volatile organic compounds;0.13;ppm
11/02/2015;15:55:16.105;carbon dioxide;567;ppm
11/02/2015;15:56:02.557;indoor relative humidity;27.0;%
11/02/2015;15:57:00.249;indoor relative humidity;27.0;%
11/02/2015;15:58:01.183;indoor relative humidity;27.0;%
11/02/2015;15:58:05.653;indoor temperature;21.7;°C
11/02/2015;15:58:11.693;volatile organic compounds;0.13;ppm
11/02/2015;15:58:18.003;carbon dioxide;567;ppm
11/02/2015;15:59:01.475;indoor relative humidity;27.0;%
11/02/2015;16:00:01.977;indoor relative humidity;27.0;%
11/02/2015;16:01:02.760;indoor relative humidity;27.0;%
11/02/2015;16:01:05.580;indoor temperature;21.7;°C
11/02/2015;16:01:09.990;volatile organic compounds;0.13;ppm
11/02/2015;16:01:15.190;carbon dioxide;567;ppm
11/02/2015;16:01:59.972;indoor relative humidity;27.0;%
11/02/2015;16:03:00.984;indoor relative humidity;27.0;%
11/02/2015;16:04:01.567;indoor relative humidity;27.0;%
11/02/2015;16:04:07.157;indoor temperature;21.7;°C
11/02/2015;16:04:12.887;volatile organic compounds;0.13;ppm
11/02/2015;16:04:16.087;carbon dioxide;567;ppm
11/02/2015;16:05:00.869;indoor relative humidity;27.0;%
11/02/2015;16:05:59.881;indoor relative humidity;27.0;%
11/02/2015;16:07:01.275;indoor relative humidity;27.0;%
11/02/2015;16:07:07.375;indoor temperature;21.7;°C
11/02/2015;16:07:09.975;volatile organic compounds;0.13;ppm
11/02/2015;16:07:15.195;carbon dioxide;570;ppm
11/02/2015;16:08:02.367;indoor relative humidity;27.0;%
11/02/2015;16:09:00.469;indoor relative humidity;27.0;%
11/02/2015;16:10:02.063;indoor relative humidity;27.0;%
11/02/2015;16:10:07.773;indoor temperature;21.7;°C
11/02/2015;16:10:11.273;volatile organic compounds;0.13;ppm
11/02/2015;16:10:16.693;carbon dioxide;567;ppm
11/02/2015;16:11:02.596;indoor relative humidity;27.0;%
11/02/2015;16:12:02.868;indoor relative humidity;27.0;%
11/02/2015;16:13:02.351;indoor relative humidity;27.0;%
11/02/2015;16:13:04.991;indoor temperature;21.7;°C
11/02/2015;16:13:09.991;volatile organic compounds;0.13;ppm
11/02/2015;16:13:16.181;carbon dioxide;570;ppm
11/02/2015;16:14:00.373;indoor relative humidity;27.0;%
11/02/2015;16:15:01.385;indoor relative humidity;27.0;%
11/02/2015;16:16:01.448;indoor relative humidity;27.0;%
11/02/2015;16:16:07.388;indoor temperature;21.7;°C
11/02/2015;16:16:09.898;volatile organic compounds;0.13;ppm
11/02/2015;16:16:16.398;carbon dioxide;570;ppm
11/02/2015;16:16:59.990;indoor relative humidity;27.0;%
11/02/2015;16:18:00.362;indoor relative humidity;27.0;%
11/02/2015;16:18:59.865;indoor relative humidity;27.0;%
11/02/2015;16:19:07.695;indoor temperature;21.7;°C
11/02/2015;16:19:10.205;volatile organic compounds;0.13;ppm
11/02/2015;16:19:15.495;carbon dioxide;567;ppm
11/02/2015;16:20:02.677;indoor relative humidity;27.0;%
11/02/2015;16:21:01.560;indoor relative humidity;27.0;%
11/02/2015;16:22:01.773;indoor relative humidity;27.0;%
11/02/2015;16:22:07.693;indoor temperature;21.7;°C
11/02/2015;16:22:10.173;volatile organic compounds;0.13;ppm
11/02/2015;16:22:16.314;carbon dioxide;576;ppm
11/02/2015;16:23:01.666;indoor relative humidity;27.0;%
11/02/2015;16:24:00.278;indoor relative humidity;27.0;%
